,id,uptime,ifans,gender,num_fans,fans_cat,num_videos,num_charge,av_coin,av_danmu,av_star,av_like,av_play,av_comment,av_share
0,376874873,2022-11-12,3.32,True,76800,0,157,30,2411,201,5770,11800,185700,337,3796
1,284906814,2022-11-25,4.98,True,85300,0,100,32,1787,259,12000,27599,182300,521,2984
2,1616728,2020-05-22,3.74,True,98100,0,96,164,1056,3918,6177,2964,47300,219,229
3,1791122,2022-09-19,3.99,False,50000,0,396,83,770,126,1373,3196,80500,170,1451
4,31425423,2022-11-27,3.77,False,49700,0,120,68,2678,402,5601,22100,357900,520,3628
5,131111,2021-08-29,3.46,False,91900,0,31,1010,28100,6590,45000,29300,581200,1580,6607
6,490002276,2022-11-24,5.91,False,97899,0,74,0,4282,243,20800,136400,1412000,1119,19100
7,2067160,2022-11-30,7.93,True,100000,0,321,172,2848,345,5893,11500,76400,329,1139
8,7287761,2022-11-25,3.49,True,54400,0,539,86,43,1,568,517,2526,25,4
9,509281735,2022-11-29,3.58,False,64100,0,165,7,45,37,567,481,72500,44,5
10,1803963357,2022-11-30,5.53,True,93200,0,182,0,54,97,727,450,17600,66,57
11,34510865,2022-11-01,3.42,False,82800,0,69,102,1713,261,3616,11299,108800,256,1490
12,6068793,2022-11-04,4.6,False,94300,0,2533,1284,3,0,1,87,1468,16,4
13,248374275,2022-11-30,7.35,True,55599,0,4905,0,0,0,1,18,340,1,0
14,305247796,2022-11-25,4.25,False,9421,0,54,1,564,172,18200,2010,1183400,67,15
15,23068286,2022-05-26,3.59,False,19000,0,15,1,58,107,237,320,21300,11,54
16,2185171,2022-07-06,4.77,True,79900,0,4821,59,12,4,72,212,4005,23,7
17,90582650,2022-11-24,9.03,False,57699,0,220,5075,4765,55,403,9256,41300,131,21
18,84975668,2022-10-29,4.78,True,66600,0,156,151,1538,238,1181,11500,149400,112,97
19,403486669,2021-12-12,4.72,False,21400,0,83,4547,512,119,286,546,13100,122,7
20,342646,2022-09-21,3.48,False,87100,0,607,2033,498,96,152,685,12800,53,10
21,23973917,2022-12-01,6.28,False,81000,0,552,5031,153,36,20,349,3872,35,6
